ID	Num_tox	Tox_type	Domain	Unknown_type	Dataset
119	1	Majs	domain1	no	raw_data
0	1	Recs	domain3	no	filt_tree
0	1	Mins	domain3	no	filt_tree
0	1	Majs	domain3	no	filt_tree
2	1	Recs	domain3	no	filt_tree
2	9	Mins	domain3	no	filt_tree
2	1	Majs	domain3	no	filt_tree
3	1	Recs	domain3	no	filt_tree
3	1	Mins	domain3	no	filt_tree
3	1	Majs	domain3	no	filt_tree
6	1	Recs	domain3	no	filt_tree
6	1	Mins	domain3	no	filt_tree
6	1	Majs	domain3	no	filt_tree
8	1	Recs	domain3	no	filt_tree
8	1	Mins	domain3	no	filt_tree
8	1	Majs	domain3	no	filt_tree
10	1	Recs	domain3	no	filt_tree
10	1	Mins	domain3	no	filt_tree
10	1	Majs	domain3	no	filt_tree
13	1	Recs	domain3	no	filt_tree
13	1	Mins	domain3	no	filt_tree
13	1	Majs	domain3	no	filt_tree
14	1	Recs	domain3	no	filt_tree
14	4	Mins	domain3	no	filt_tree
14	1	Majs	domain3	no	filt_tree
17	1	Recs	domain3	no	filt_tree
17	2	Mins	domain3	no	filt_tree
17	1	Majs	domain3	no	filt_tree
19	1	Recs	domain3	no	filt_tree
19	2	Mins	domain3	no	filt_tree
19	1	Majs	domain3	no	filt_tree
22	1	Recs	domain2	major	filt_tree
22	1	Mins	domain2	major	filt_tree
22	0	Majs	domain2	major	filt_tree
