ID	Rec_domain	Curr_domain	Tox_type	unknown_flag	evol_type	signif_flag	omega_b	omega_f	Num_tox	Num_rec_pars	Num_recs_pars_all	best_site_model	Sites_pos	Sites_cons	Sites_rel	Best_branc_site	Brsites_pos	Brsites_cons	Brsites_rel	Passed_flag	Orders_flag	Simpson_species
60	domain3	domain3	Par	known	non-signif	non-signif	0.428	0.529	7	1	3	positive	6	0	0	mB	0	0	0	passed	NA	NA
60	domain3	domain1	Rec	known	purifying	non-signif	0.289	0.326	8	2	3	positive	2	0	0	mB	1	80	0	passed	NA	NA
60	domain3	domain1	Par	known	non-signif	signif	0.266	0.639	8	1	3	positive	2	0	0	mB	1	60	0	passed	NA	NA
60	domain3	domain2	Rec	known	non-signif	non-signif	0.5379999999999999	0.762	7	2	3	positive	7	0	0	mB	3	39	0	passed	NA	NA
60	domain3	domain2	Par	known	non-signif	non-signif	0.552	0.843	7	1	3	positive	7	0	0	mB	0	45	0	passed	NA	NA
62	domain1	domain1	Rec	known	purifying	non-signif	0.171	0.2	31	1	2	relaxation	0	0	1	mB	1	37	0	passed	Same	0.6666666666666666
62	domain1	domain1	Par	known	purifying	non-signif	0.175	0.076	31	1	2	relaxation	0	0	1	mB	0	28	0	passed	Same	0.6666666666666666
62	domain1	domain2	Rec	known	non-signif	non-signif	0.159	0.193	12	1	5	positive	2	0	0	mB	0	0	0	passed	Same	0.6666666666666666
62	domain1	domain2	Par	known	non-signif	non-signif	0.159	0.244	12	4	5	positive	2	0	0	mB	0	31	0	passed	Same	0.6666666666666666
62	domain1	domain3	Rec	known	non-signif	non-signif	0.311	0.263	7	1	3	positive	0	0	0	mB	0	0	0	passed	Same	0.6666666666666666
62	domain1	domain3	Par	known	purifying	non-signif	0.325	0.262	7	2	3	positive	0	0	0	mB	0	0	0	passed	Same	0.6666666666666666
65	domain2	domain2	Rec	minor	non-signif	signif	0.544	1.63	9	2	2	positive	14	0	0	mB	4	70	0	passed	NA	NA
65	domain2	domain1	Rec	known	purifying	non-signif	0.623	0.435	9	2	3	positive	4	0	0	mB	1	74	0	passed	NA	NA
65	domain2	domain1	Par	known	non-signif	non-signif	0.514	0.724	9	1	3	positive	4	0	0	mB	2	79	0	passed	NA	NA
71	domain2	domain2	Rec	known	purifying	signif	0.24100000000000002	0.048	8	1	2	non-signif	0	0	0	mB	0	55	0	passed	Different	0.0
71	domain2	domain2	Par	known	purifying	non-signif	0.208	0.169	8	1	2	non-signif	0	0	0	mB	0	57	0	passed	Different	0.0
73	domain3	domain3	Rec	known	non-signif	non-signif	0.21600000000000003	0.302	7	1	2	relaxation	0	0	1	mB	0	21	0	passed	Same	0.0
73	domain3	domain3	Par	known	non-signif	non-signif	0.204	0.508	7	1	2	relaxation	0	0	1	mB	3	17	0	passed	Same	0.0
73	domain3	domain1	Rec	major	purifying	non-signif	0.22699999999999998	0.32	8	1	1	relaxation	0	0	1	mB	2	35	0	passed	Same	0.0
73	domain3	domain2	Rec	major	purifying	non-signif	0.203	0.366	8	1	1	non-signif	0	0	0	mB	1	41	0	passed	Same	0.0
74	domain3	domain3	Rec	minor	purifying	signif	0.327	0.004	8	1	1	positive	6	0	0	mB	2	21	0	passed	NA	NA
74	domain3	domain1	Rec	known	non-signif	signif	0.16399999999999998	0.545	8	1	3	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
74	domain3	domain1	Par	known	purifying	non-signif	0.197	0.147	8	2	3	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
74	domain3	domain2	Rec	known	non-signif	non-signif	0.429	0.48700000000000004	8	1	2	positive	2	0	0	mB	2	56	0	passed	NA	NA
74	domain3	domain2	Par	known	non-signif	non-signif	0.431	0.256	8	1	2	positive	2	0	0	mB	1	56	0	passed	NA	NA
75	domain1	domain1	Rec	known	purifying	signif	0.223	0.07	10	1	2	relaxation	0	0	1	mB	0	17	0	passed	NA	NA
75	domain1	domain1	Par	known	purifying	non-signif	0.202	0.118	10	1	2	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
75	domain1	domain2	Rec	known	purifying	non-signif	0.325	0.156	8	1	3	positive	1	5	0	mB	1	31	0	passed	NA	NA
75	domain1	domain2	Par	known	purifying	non-signif	0.348	0.196	8	2	3	positive	1	5	0	mB	0	31	0	passed	NA	NA
